Slice,ExpectedPackedExtinction,ActualPackedExtinction,ExpectedExtinction,ActualExtinction,ExpectedTransmittance,ActualTransmittance,AbsError,Pass
0,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
1,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
2,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
3,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
4,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
5,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
6,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
7,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
8,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
9,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
10,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
11,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
12,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
13,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
14,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
15,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
16,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
17,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
18,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
19,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
20,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
21,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
22,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
23,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
24,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
25,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
26,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
27,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
28,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
29,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
30,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
31,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
32,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
33,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
34,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
35,0,0,0.000000,0.000000,1.000000,1.000000,0.000000,true
36,6931,6931,0.693100,0.693100,0.500000,1.000000,0.000000,true
37,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
38,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
39,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
40,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
41,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
42,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
43,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
44,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
45,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
46,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
47,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
48,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
49,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
50,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
51,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
52,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
53,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
54,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
55,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
56,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
57,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
58,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
59,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
60,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
61,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
62,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
63,0,0,0.000000,0.000000,0.500000,1.000000,0.000000,true
